"intratherm_id","genus_species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","realm_general2","Notes","genus","species","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km","season_when_away_100km","logic_source_season_when_away","data_gatherer","lifespan_days","lifespan_days_reference"
278,"Anguilla australis","Chordata","Teleostei","Anguilliformes","Anguillidae",NA,"Simons 1984","Comte","Anguilla australis_-37.27_NA_174.87","20",-37.27,174.87,"","Lower Waikato River New Zealand",7,35.6,"tmax",1.53,"SD",16,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Anguilla","australis","130","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Sarah/Nikki","11680","De Magalhães & Costa, 2009"
279,"Anguilla australis","Chordata","Teleostei","Anguilliformes","Anguillidae",NA,"Simons 1984","Comte","Anguilla australis_-37.27_NA_174.87","21.5",-37.27,174.87,"","Lower Waikato River New Zealand",7,36,"tmax",0.62,"SD",12,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Anguilla","australis","130","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Sarah/Nikki","11680","De Magalhães & Costa, 2009"
297,"Apogon dovii","Chordata","Teleostei","Perciformes","Apogonidae",NA,"Mora & Ospína 2001","Comte","Apogon dovii_2.97_NA_7.18","26.5",2.97,7.18,"","Gorgona Island national park Columbia",1,37.04,"tmax",0.34,"SD",28,"critical","LOE","0.02",NA,NA,NA,NA,NA,NA,NA,"Marine",NA,"Apogon","dovii","7.5","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","unk",""
298,"Apogon dovii","Chordata","Teleostei","Perciformes","Apogonidae",NA,"Ospína & Mora 2004","Comte","Apogon dovii_2.99_NA_-78.2","26.5",2.99,-78.2,"","Gorgona Island reefs Columbia",1,36.43,"tmax",0.76,"SD",27,"lethal","death","0.02",NA,NA,NA,NA,NA,NA,NA,"Marine",NA,"Apogon","dovii","7.5","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","unk",""
299,"Apogon dovii","Chordata","Teleostei","Perciformes","Apogonidae",NA,"Graham 1971","Comte","Apogon dovii_7.33_NA_-80.21","28",7.33,-80.21,"","Pacific ocean Panama",NA,37.23,"tmax",0.88,"SD",12,"lethal","death","0.0383",NA,NA,NA,NA,NA,NA,NA,"Marine",NA,"Apogon","dovii","7.5","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","unk",""
322,"Bathygobius ramosus","Chordata","Teleostei","Perciformes","Gobiidae",NA,"Mora & Ospína 2001","Comte","Bathygobius ramosus_2.97_NA_7.18","26.5",2.97,7.18,"","Gorgona Island national park Columbia",1,35.13,"tmax",0.12,"SD",15,"critical","LOE","0.02",NA,NA,NA,NA,NA,NA,NA,"Marine",NA,"Bathygobius","ramosus","20","Froese & Pauly, 2000","","Froese & Pauly, 2000","unk","","","","","Nikki","unk",""
323,"Bathygobius ramosus","Chordata","Teleostei","Perciformes","Gobiidae",NA,"Graham 1971","Comte","Bathygobius ramosus_7.33_NA_-80.21","28",7.33,-80.21,"","Pacific ocean Panama",NA,40.7,"tmax",0.09,"SD",21,"lethal","death","0.0383",NA,NA,NA,NA,NA,NA,NA,"Marine",NA,"Bathygobius","ramosus","20","Froese & Pauly, 2000","","Froese & Pauly, 2000","unk","","","","","Nikki","unk",""
370,"Carpiodes cyprinus","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Mundahl 1990","Comte","Carpiodes cyprinus_39.97_NA_-82.81","24",39.97,-82.81,"","Indian Creek Ohio US",NA,38.8,"tmax",0.8,"SD",6,"critical","LOE","0.8",NA,NA,NA,NA,NA,NA,NA,"Freshwater","complicated migration","Carpiodes","cyprinus","45.7","Parker & Franzin, 1991","","","migratory","NatureServe, 2020","","","","Azenor/Nikki","4015","Meyers et al., 2015"
371,"Carpiodes cyprinus","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Carpiodes cyprinus_42.08_NA_-81.34","23.3",42.08,-81.34,"","Lake Erie",NA,37.2,"tmax",NA,"SD",NA,"critical","LOE",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","complicated migration","Carpiodes","cyprinus","45.7","Parker & Franzin, 1991","","","migratory","NatureServe, 2020","","","","Azenor/Nikki","4015","Meyers et al., 2015"
380,"Catostomus clarkii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Deacon et al. 1987","Comte","Catostomus clarkii_34.048927_NA_-111.093735","10",34.048927,-111.093735,"inferred","Virgin River Utha US",14,32.2,"tmax",0.64,"SD",6,"critical","LOE","0.24",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Catostomus","clarkii","33","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Azenor/Nikki","3650","NatureServe, 2020"
381,"Catostomus clarkii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Deacon et al. 1987","Comte","Catostomus clarkii_34.048927_NA_-111.093735","25",34.048927,-111.093735,"inferred","Virgin River Utha US",14,37.17,"tmax",0.5,"SD",6,"critical","LOE","0.24",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Catostomus","clarkii","33","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Azenor/Nikki","3650","NatureServe, 2020"
388,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Catostomus commersonii_42.08_NA_-81.34","5",42.08,-81.34,"","Lake Erie",NA,26.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Catostomus","commersonii","65","Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","","NatureServe, 2020;Meyers et al., 2015","Azenor/Nikki","6205","Meyers et al., 2015"
389,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Catostomus commersonii_42.08_NA_-81.34","10",42.08,-81.34,"","Lake Erie",NA,27.7,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Catostomus","commersonii","65","Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","","NatureServe, 2020;Meyers et al., 2015","Azenor/Nikki","6205","Meyers et al., 2015"
390,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Catostomus commersonii_42.08_NA_-81.34","15",42.08,-81.34,"","Lake Erie",NA,29.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Catostomus","commersonii","65","Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","","NatureServe, 2020;Meyers et al., 2015","Azenor/Nikki","6205","Meyers et al., 2015"
391,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Catostomus commersonii_42.08_NA_-81.34","20",42.08,-81.34,"","Lake Erie",NA,29.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Catostomus","commersonii","65","Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","","NatureServe, 2020;Meyers et al., 2015","Azenor/Nikki","6205","Meyers et al., 2015"
392,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Catostomus commersonii_42.08_NA_-81.34","25",42.08,-81.34,"","Lake Erie",NA,29.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Catostomus","commersonii","65","Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","","NatureServe, 2020;Meyers et al., 2015","Azenor/Nikki","6205","Meyers et al., 2015"
393,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Spotila et al. 1979","Comte","Catostomus commersonii_42.08_NA_-81.34","19",42.08,-81.34,"","Lake Erie",NA,31.6,"tmax",NA,"SD",NA,"critical","LOE",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Catostomus","commersonii","65","Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","","NatureServe, 2020;Meyers et al., 2015","Azenor/Nikki","6205","Meyers et al., 2015"
410,"Catostomus commersonii","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Beitinger et al. 2000","Comte","Catostomus commersonii_39.279_NA_-91.155","26",39.279,-91.155,"inferred","centroid of Salt River, Cuivre River, Missouri, United States",NA,34.9,"tmax",0.25,"SD",5,"critical","LOE","0.017",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Catostomus","commersonii","65","Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","","NatureServe, 2020;Meyers et al., 2015","Azenor/Nikki","6205","Meyers et al., 2015"
459,"Chrosomus erythrogaster","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Scott 1987","Comte","Chrosomus erythrogaster_36.16_NA_-105.2","21.5",36.16,-105.2,"","Little Coyote Creek Colfax New Mexico US",NA,32.33,"tmax",NA,"SD",70,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Chrosomus","erythrogaster","9.1","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Froese & Pauly, 2000;NatureServe, 2020"
460,"Chrosomus erythrogaster","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Scott 1987","Comte","Chrosomus erythrogaster_36.16_NA_-105.2","10",36.16,-105.2,"","Little Coyote Creek Colfax New Mexico US",NA,29.27,"tmax",NA,"SD",70,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Chrosomus","erythrogaster","9.1","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Froese & Pauly, 2000;NatureServe, 2020"
461,"Chrosomus erythrogaster","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Scott 1987","Comte","Chrosomus erythrogaster_36.16_NA_-105.2","0",36.16,-105.2,"","Little Coyote Creek Colfax New Mexico US",NA,19.71,"tmax",NA,"SD",70,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Chrosomus","erythrogaster","9.1","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Froese & Pauly, 2000;NatureServe, 2020"
462,"Chrosomus erythrogaster","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Scott 1987","Comte","Chrosomus erythrogaster_36.16_NA_-105.2","1",36.16,-105.2,"","Little Coyote Creek Colfax New Mexico US",NA,18.17,"tmax",NA,"SD",70,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Chrosomus","erythrogaster","9.1","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Froese & Pauly, 2000;NatureServe, 2020"
463,"Chrosomus erythrogaster","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Scott 1987","Comte","Chrosomus erythrogaster_36.16_NA_-105.2","0",36.16,-105.2,"","Little Coyote Creek Colfax New Mexico US",NA,17.55,"tmax",NA,"SD",70,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Chrosomus","erythrogaster","9.1","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Froese & Pauly, 2000;NatureServe, 2020"
464,"Chrosomus erythrogaster","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Scott 1987","Comte","Chrosomus erythrogaster_36.16_NA_-105.2","19",36.16,-105.2,"","Little Coyote Creek Colfax New Mexico US",NA,25.36,"tmax",NA,"SD",70,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Chrosomus","erythrogaster","9.1","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Froese & Pauly, 2000;NatureServe, 2020"
465,"Chrosomus erythrogaster","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Beitinger et al. 2000","Comte","Chrosomus erythrogaster_38.189801_NA_-91.908238","26",38.189801,-91.908238,"inferred","Gasconade River, Missouri, United States",NA,35.9,"tmax",0.42,"SD",12,"critical","LOE","0.017",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Chrosomus","erythrogaster","9.1","Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","1095","Froese & Pauly, 2000;NatureServe, 2020"
466,"Coregonus artedi","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Yoder et al. 2012","Comte","Coregonus artedi_42.41_NA_-83.98","2",42.41,-83.98,"","Pickerel Lake Michigan US",NA,19.8,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Coregonus","artedi","57","Froese & Pauly, 2000","","","migratory","IUCN, 2020","Winter","","Meyers et al., 2015;Morin et al., 1981","Nikki","4745","Meyers et al., 2015"
467,"Coregonus artedi","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Yoder et al. 2012","Comte","Coregonus artedi_42.41_NA_-83.98","5",42.41,-83.98,"","Pickerel Lake Michigan US",NA,21.8,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Coregonus","artedi","57","Froese & Pauly, 2000","","","migratory","IUCN, 2020","Winter","","Meyers et al., 2015;Morin et al., 1981","Nikki","4745","Meyers et al., 2015"
468,"Coregonus artedi","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Yoder et al. 2012","Comte","Coregonus artedi_42.41_NA_-83.98","10",42.41,-83.98,"","Pickerel Lake Michigan US",NA,24.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Coregonus","artedi","57","Froese & Pauly, 2000","","","migratory","IUCN, 2020","Winter","","Meyers et al., 2015;Morin et al., 1981","Nikki","4745","Meyers et al., 2015"
469,"Coregonus artedi","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Yoder et al. 2012","Comte","Coregonus artedi_42.41_NA_-83.98","20",42.41,-83.98,"","Pickerel Lake Michigan US",NA,26.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Coregonus","artedi","57","Froese & Pauly, 2000","","","migratory","IUCN, 2020","Winter","","Meyers et al., 2015;Morin et al., 1981","Nikki","4745","Meyers et al., 2015"
470,"Coregonus artedi","Chordata","Teleostei","Salmoniformes","Salmonidae",NA,"Yoder et al. 2012","Comte","Coregonus artedi_42.41_NA_-83.98","25",42.41,-83.98,"","Pickerel Lake Michigan US",NA,25.8,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Coregonus","artedi","57","Froese & Pauly, 2000","","","migratory","IUCN, 2020","Winter","","Meyers et al., 2015;Morin et al., 1981","Nikki","4745","Meyers et al., 2015"
482,"Cottus bairdii","Chordata","Teleostei","Scorpaeniformes","Cottidae",NA,"Walsh et al. 1997","Comte","Cottus bairdii_34.19_NA_-84.95","10",34.19,-84.95,"","Etowah River Georgia US",7,29.56,"tmax",1.08,"SD",10,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Cottus","bairdii","15","Froese & Pauly, 2000","","Breen et al., 2009","non-migratory","IUCN, 2020","","","","Nikki","730","Froese & Pauly, 2000"
483,"Cottus bairdii","Chordata","Teleostei","Scorpaeniformes","Cottidae",NA,"Walsh et al. 1997","Comte","Cottus bairdii_34.19_NA_-84.95","15",34.19,-84.95,"","Etowah River Georgia US",7,30.37,"tmax",1.22,"SD",10,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Cottus","bairdii","15","Froese & Pauly, 2000","","Breen et al., 2009","non-migratory","IUCN, 2020","","","","Nikki","730","Froese & Pauly, 2000"
484,"Cottus bairdii","Chordata","Teleostei","Scorpaeniformes","Cottidae",NA,"Walsh et al. 1997","Comte","Cottus bairdii_34.19_NA_-84.95","20",34.19,-84.95,"","Etowah River Georgia US",7,32.01,"tmax",0.52,"SD",10,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Cottus","bairdii","15","Froese & Pauly, 2000","","Breen et al., 2009","non-migratory","IUCN, 2020","","","","Nikki","730","Froese & Pauly, 2000"
485,"Cottus bairdii","Chordata","Teleostei","Scorpaeniformes","Cottidae",NA,"Walsh et al. 1997","Comte","Cottus bairdii_34.19_NA_-84.95","25",34.19,-84.95,"","Etowah River Georgia US",7,33.83,"tmax",0.37,"SD",11,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Cottus","bairdii","15","Froese & Pauly, 2000","","Breen et al., 2009","non-migratory","IUCN, 2020","","","","Nikki","730","Froese & Pauly, 2000"
486,"Cottus bairdii","Chordata","Teleostei","Scorpaeniformes","Cottidae",NA,"Kowaski et al. 1978","Comte","Cottus bairdii_42.6_NA_-78.47","15",42.6,-78.47,"","Buffalo Creek, Erie County, New York, United States",28,30.9,"tmax",0.33,"SD",10,"critical","OS","1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Cottus","bairdii","15","Froese & Pauly, 2000","","Breen et al., 2009","non-migratory","IUCN, 2020","","","","Nikki","730","Froese & Pauly, 2000"
